ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
b879808ae9517f99b5c75f3692dd7dc6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
8a8009c2f4f7f9630ed48120f668e9f2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
0aba997240cf5042768ce5222a7199f8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
cee5c6c829864ecae9ca6855086c98eb,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
62a017922fcc1324bb8abbdedce11d06,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,X
0dfb14574a28cca0941110fc28150f4a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
fb8b000f36726061487a6c2f4f32a864,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
17308c0b6c45b9a293de1dfc2ab6ce7a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
284ef109d1009ae75a8677529442f2ee,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,C21_c20
b4b5b532bd748bac56afa40ac5c35b8b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
23217aad21b6615c28cb1696a7827486,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
0c23b413eb1b112dfe286c150fce4e13,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
82a0f2cb05919e8bc460582fe0608c29,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
ba755486792c6242a748077cc162aa07,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
6504798f7953887afd13af08875d2757,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,X
ef513265a9c659c9876d1b6cdf7af83a,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7,X,X
68c2e2c3a01a0ee06aa77b1473950259,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,X
3d9f838a4d998b96752829325ad95da6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,X,X
